ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-06-18,1585.548704276997,1490.6115987483208,1782.1922316222913,1585.5481029117543,1585.5493564573762,54.22415088607108,54.22415088607108,54.22415088607108,54.22415088607108,54.22415088607108,54.22415088607108,0.0,0.0,0.0,1639.772855163068
2023-06-25,1588.178393391888,1512.7001422430262,1803.9096768951642,1588.1777779099466,1588.1790540695793,54.22415088580532,54.22415088580532,54.22415088580532,54.22415088580532,54.22415088580532,54.22415088580532,0.0,0.0,0.0,1642.4025442776933
2023-07-02,1590.8080825067789,1493.4141764815602,1787.386252973469,1590.8074538180433,1590.8087560566821,54.224150886228074,54.224150886228074,54.224150886228074,54.224150886228074,54.224150886228074,54.224150886228074,0.0,0.0,0.0,1645.032233393007
2023-07-09,1593.4377716216698,1486.8945225773627,1787.2703182058106,1593.437131408026,1593.4384577975732,54.224150885273794,54.224150885273794,54.224150885273794,54.224150885273794,54.224150885273794,54.224150885273794,0.0,0.0,0.0,1647.6619225069435
2023-07-16,1596.0674607365606,1500.0059155107601,1800.8283065209498,1596.0668090159581,1596.0681580071698,54.22415088569656,54.22415088569656,54.22415088569656,54.22415088569656,54.22415088569656,54.22415088569656,0.0,0.0,0.0,1650.2916116222573
2023-07-23,1598.6971498514515,1507.5583882966712,1805.9281359584536,1598.696489514951,1598.6978581935089,54.22415088671976,54.22415088671976,54.22415088671976,54.22415088671976,54.22415088671976,54.22415088671976,0.0,0.0,0.0,1652.9213007381713
2023-07-30,1601.3268389663424,1512.1702830722231,1799.0240129323706,1601.3261699124546,1601.3275588912713,54.224150886454,54.224150886454,54.224150886454,54.224150886454,54.224150886454,54.224150886454,0.0,0.0,0.0,1655.5509898527964
2023-08-06,1603.956528081233,1501.6629310707801,1808.3555986570748,1603.9558505109108,1603.9572648627568,54.22415088618826,54.22415088618826,54.22415088618826,54.22415088618826,54.22415088618826,54.22415088618826,0.0,0.0,0.0,1658.1806789674213
2023-08-13,1606.5862171961242,1515.5054646519459,1818.213535229597,1606.5855292591395,1606.5869608986845,54.22415088592247,54.22415088592247,54.22415088592247,54.22415088592247,54.22415088592247,54.22415088592247,0.0,0.0,0.0,1660.8103680820466
2023-08-20,1609.2159063110148,1523.1185874985408,1802.3065204618044,1609.2152130078848,1609.2166644849808,54.224150886945694,54.224150886945694,54.224150886945694,54.224150886945694,54.224150886945694,54.224150886945694,0.0,0.0,0.0,1663.4400571979604
2023-08-27,1611.845595425906,1523.0785404487785,1806.3119050591108,1611.84489427586,1611.8463712725436,54.22415088599143,54.22415088599143,54.22415088599143,54.22415088599143,54.22415088599143,54.22415088599143,0.0,0.0,0.0,1666.0697463118972
2023-09-03,1614.4752845407968,1523.3002072904862,1822.855703736487,1614.4745683354893,1614.4760797559882,54.224150886414165,54.224150886414165,54.224150886414165,54.224150886414165,54.224150886414165,54.224150886414165,0.0,0.0,0.0,1668.699435427211
